Member Joining Date,Membership Start Date,Membership Type Name,Membership Completed On,Division Name
2021-01-23,2021-01-23,Gold Monthly (Pay w/Routing&Acct Only),2021-01-23,Gym Membership
2021-03-06,2021-03-06,Platinum Monthly ($2.99 Debit/CC Fee),2021-03-06,Gym Membership
2021-09-10,2021-09-10,Platinum Monthly (No Commitment),2021-09-10,Gym Membership
2021-07-09,2021-07-09,Gold Monthly (Pay w/Routing&Acct Only),2021-07-09,Gym Membership
2021-03-24,2021-03-24,Gold Monthly (Pay w/Routing&Acct Only),2021-03-24,Gym Membership
2021-09-17,2021-09-17,Platinum Monthly (Pay w Routing/Acct Only),2021-09-17,Gym Membership
2021-10-28,2021-10-28,Platinum Paid in Full,2021-10-28,Gym Membership
2021-06-30,2021-06-30,Gold Monthly (Pay w/Routing&Acct Only),2021-06-30,Gym Membership
2021-10-07,2021-10-07,Platinum Monthly ($2.99 CC Fee),2021-10-07,Gym Membership
2021-05-01,2021-05-01,Platinum Paid in Full,2021-05-01,Gym Membership
2021-04-14,2021-04-14,Gold Monthly (No Commitment),2021-04-14,Gym Membership
2021-06-21,2021-06-21,Gold Monthly (Pay w/Routing&Acct Only),2021-06-21,Gym Membership
2021-09-05,2021-09-05,Platinum Monthly (No Commitment),2021-09-05,Gym Membership
2021-06-13,2021-06-13,Platinum Monthly (Pay w Routing/Acct Only),2021-06-13,Gym Membership
2021-07-07,2021-07-07,Gold Monthly (Pay w/Routing&Acct Only),2021-07-07,Gym Membership
2021-02-24,2021-02-24,Platinum Monthly (Pay w Routing/Acct Only),2021-02-24,Gym Membership
2021-08-17,2021-08-17,Platinum Monthly (Pay w Routing/Acct Only),2021-08-17,Gym Membership
2021-09-19,2021-09-19,Platinum Monthly (Pay w Routing/Acct Only),2021-09-19,Gym Membership
2021-06-20,2021-06-20,Platinum Monthly (Pay w Routing/Acct Only),2021-06-20,Gym Membership
2021-03-09,2021-03-09,Platinum Monthly (Pay w Routing/Acct Only),2021-03-09,Gym Membership
2021-08-09,2021-08-09,Platinum Paid in Full,2021-08-09,Gym Membership
2021-06-13,2021-06-13,Gold Monthly (Pay w/Routing&Acct Only),2021-06-13,Gym Membership
2021-10-22,2021-10-22,Gold Monthly (Pay w/Routing&Acct Only),2021-10-22,Gym Membership
2021-05-01,2021-05-01,Platinum Monthly (Pay w Routing/Acct Only),2021-05-01,Gym Membership
2021-02-15,2021-02-15,Platinum Monthly (Pay w Routing/Acct Only),2021-02-15,Gym Membership
2021-03-31,2021-03-31,Platinum Monthly (Pay w Routing/Acct Only),2021-03-31,Gym Membership
2021-04-24,2021-04-24,Platinum Monthly (Pay w Routing/Acct Only),2021-04-24,Gym Membership
2021-04-21,2021-04-21,Platinum Monthly (Pay w Routing/Acct Only),2021-04-21,Gym Membership
2021-05-10,2021-05-10,Platinum Monthly (Pay w Routing/Acct Only),2021-05-10,Gym Membership
2018-08-10,2021-08-02,SILVER SNEAKERS ,2021-08-02,Gym Membership
2021-03-05,2021-03-05,Gold Monthly (Pay w/Routing&Acct Only),2021-03-05,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-07-26,2021-07-26,Gold Monthly (Pay w/Routing&Acct Only),2021-07-26,Gym Membership
2021-10-17,2021-10-17,Platinum Monthly (Pay w Routing/Acct Only),2021-10-17,Gym Membership
2021-05-28,2021-05-28,Platinum Monthly (Pay w Routing/Acct Only),2021-05-28,Gym Membership
2021-03-15,2021-03-15,Platinum Monthly (No Commitment),2021-03-15,Gym Membership
2021-02-23,2021-02-23,Gold Paid in Full,2021-02-23,Gym Membership
2021-06-21,2021-06-21,Platinum Monthly (Pay w Routing/Acct Only),2021-06-21,Gym Membership
2021-06-10,2021-06-10,Platinum Monthly (Pay w Routing/Acct Only),2021-06-10,Gym Membership
2021-07-15,2021-07-15,Platinum Monthly (Pay w Routing/Acct Only),2021-07-15,Gym Membership
2021-08-31,2021-08-31,Platinum Monthly (Pay w Routing/Acct Only),2021-08-31,Gym Membership
2021-08-28,2021-08-28,Platinum Monthly (Pay w Routing/Acct Only),2021-08-28,Gym Membership
2021-04-22,2021-04-22,SILVER SNEAKERS ,2021-04-22,Gym Membership
2021-06-20,2021-06-20,Platinum Monthly (Pay w Routing/Acct Only),2021-06-20,Gym Membership
2021-06-05,2021-06-05,Platinum Monthly (Pay w Routing/Acct Only),2021-06-05,Gym Membership
2021-05-16,2021-05-16,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-16,Gym Membership
2021-02-09,2021-02-09,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-09,Gym Membership
2021-10-19,2021-10-19,Platinum Monthly (No Commitment),2021-10-19,Gym Membership
2021-05-05,2021-05-05,Gold Monthly (Pay w/Routing&Acct Only),2021-05-05,Gym Membership
2021-09-10,2021-09-10,Gold Monthly ($2.99 Debit/CC Fee),2021-09-10,Gym Membership
2021-08-19,2021-08-19,Platinum Monthly (Pay w Routing/Acct Only),2021-08-19,Gym Membership
2021-05-29,2021-05-29,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-29,Gym Membership
2021-05-21,2021-05-21,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-21,Gym Membership
2021-02-15,2021-02-15,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-15,Gym Membership
2021-03-25,2021-04-01,Platinum Monthly (Pay w Routing/Acct Only),2021-03-25,Gym Membership
2017-06-02,2021-02-18,Platinum Monthly (Pay w Routing/Acct Only),2021-02-19,Gym Membership
2021-04-27,2021-04-27,Platinum Monthly (Pay w Routing/Acct Only),2021-04-27,Gym Membership
2021-09-21,2021-09-21,Platinum Monthly (Pay w Routing/Acct Only),2021-09-21,Gym Membership
2021-03-02,2021-03-02,Platinum Monthly (Pay w Routing/Acct Only),2021-03-02,Gym Membership
2021-03-10,2021-03-10,Diamond Monthly ($2.99 Debit/CC Fee),2021-03-10,Gym Membership
2021-10-19,2021-10-19,Platinum Monthly (No Commitment),2021-10-19,Gym Membership
2021-03-17,2021-03-17,Platinum Monthly (Pay w Routing/Acct Only),2021-03-17,Gym Membership
2021-06-06,2021-06-06,Diamond Paid in Full,2021-06-06,Gym Membership
2021-04-05,2021-04-05,Platinum Monthly (Pay w Routing/Acct Only),2021-04-05,Gym Membership
2021-05-20,2021-05-20,Platinum Paid in Full,2021-05-20,Gym Membership
2021-05-19,2021-05-19,Gold Monthly (Pay w/Routing&Acct Only),2021-05-19,Gym Membership
2021-02-07,2021-02-07,Gold Monthly (Pay w/Routing&Acct Only),2021-02-07,Gym Membership
2021-01-16,2021-01-16,Gold Monthly (Pay w/Routing&Acct Only),2021-01-16,Gym Membership
2021-02-18,2021-02-18,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-18,Gym Membership
2021-07-27,2021-07-27,Diamond Monthly (No Commitment) ,2021-07-27,Gym Membership
2021-08-25,2021-08-25,Platinum Monthly (Pay w Routing/Acct Only),2021-08-25,Gym Membership
2021-10-05,2021-10-05,Gold Monthly (Pay w/Routing&Acct Only),2021-10-05,Gym Membership
2021-02-16,2021-02-16,Gold Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-04-19,2021-04-19,Gold Monthly (Pay w/Routing&Acct Only),2021-04-19,Gym Membership
2021-05-07,2021-05-07,Platinum Paid in Full,2021-05-07,Gym Membership
2021-01-06,2021-01-06,Platinum Paid in Full,2021-01-06,Gym Membership
2021-03-29,2021-03-29,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-01-14,2021-01-14,Platinum Monthly (Pay w Routing/Acct Only),2021-01-14,Gym Membership
2021-03-09,2021-03-09,Gold Monthly (Pay w/Routing&Acct Only),2021-03-09,Gym Membership
2021-04-10,2021-04-10,Gold Monthly ($2.99 Debit/CC Fee),2021-04-10,Gym Membership
2021-01-27,2021-01-27,Gold Monthly (Pay w/Routing&Acct Only),2021-01-27,Gym Membership
2021-07-25,2021-07-25,Gold Monthly (Pay w/Routing&Acct Only),2021-07-25,Gym Membership
2021-06-28,2021-06-28,SILVER SNEAKERS ,2021-06-28,Gym Membership
2021-05-27,2021-05-27,Platinum Monthly (Pay w Routing/Acct Only),2021-05-27,Gym Membership
2021-02-01,2021-02-02,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-03-16,2021-03-16,Platinum Monthly (Pay w Routing/Acct Only),2021-03-16,Gym Membership
2021-10-18,2021-10-18,Gold Monthly (Pay w/Routing&Acct Only),2021-10-18,Gym Membership
2021-06-09,2021-06-09,Gold Monthly (Pay w/Routing&Acct Only),2021-06-09,Gym Membership
2021-10-12,2021-10-12,Platinum Paid in Full,2021-10-12,Gym Membership
2021-08-09,2021-08-09,Gold Monthly (No Commitment),2021-08-09,Gym Membership
2021-02-16,2021-02-16,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-03-18,2021-03-18,Gold Monthly (Pay w/Routing&Acct Only),2021-03-18,Gym Membership
2021-04-26,2021-04-26,Platinum Monthly (Pay w Routing/Acct Only),2021-04-26,Gym Membership
2021-10-13,2021-10-13,Platinum Paid in Full,2021-10-13,Gym Membership
2021-09-11,2021-09-11,Platinum Monthly (Pay w Routing/Acct Only),2021-09-11,Gym Membership
2021-09-30,2021-09-30,Platinum Monthly (Pay w Routing/Acct Only),2021-09-30,Gym Membership
2021-07-23,2021-07-23,SILVER SNEAKERS ,2021-07-23,Gym Membership
2021-06-10,2021-06-10,SILVER SNEAKERS ,2021-06-10,Gym Membership
2021-07-24,2021-07-24,Platinum Monthly (Pay w Routing/Acct Only),2021-07-24,Gym Membership
2021-06-07,2021-06-07,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-07,Gym Membership
2021-04-29,2021-04-29,Platinum Monthly (Pay w Routing/Acct Only),2021-04-29,Gym Membership
2021-06-15,2021-06-15,Gold Monthly (Pay w/Routing&Acct Only),2021-06-15,Gym Membership
2021-10-18,2021-10-18,Platinum Paid in Full,2021-10-18,Gym Membership
2021-02-02,2021-02-02,Gold Monthly (Pay w/Routing&Acct Only),2021-02-02,Gym Membership
2021-01-04,2021-01-04,Gold Monthly (No Commitment),2021-01-04,Gym Membership
2021-03-29,2021-03-29,Gold Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-06-10,2021-06-10,Gold Monthly (Pay w/Routing&Acct Only),2021-06-10,Gym Membership
2021-02-04,2021-02-04,Platinum Monthly ($2.99 Debit/CC Fee),2021-02-04,Gym Membership
2021-07-22,2021-07-22,SILVER SNEAKERS ,2021-07-22,Gym Membership
2021-04-25,2021-04-25,Platinum Monthly (Pay w Routing/Acct Only),2021-04-25,Gym Membership
2021-01-31,2021-01-31,Gold Monthly (Pay w/Routing&Acct Only),2021-01-31,Gym Membership
2021-06-20,2021-06-20,Platinum Monthly (Pay w Routing/Acct Only),2021-06-20,Gym Membership
2021-07-06,2021-07-06,Platinum Monthly (Pay w Routing/Acct Only),2021-07-06,Gym Membership
2021-02-09,2021-02-09,Platinum Monthly (Pay w Routing/Acct Only),2021-02-09,Gym Membership
2021-06-20,2021-06-20,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-20,Gym Membership
2021-07-13,2021-07-13,Gold Paid in Full,2021-07-13,Gym Membership
2021-06-23,2021-06-23,Gold Monthly ($2.99 Debit/CC Fee),2021-06-23,Gym Membership
2021-03-21,2021-03-21,Platinum Monthly (Pay w Routing/Acct Only),2021-03-21,Gym Membership
2021-06-04,2021-06-04,Diamond Monthly ($2.99 Debit/CC Fee),2021-06-04,Gym Membership
2021-03-06,2021-03-06,SILVER SNEAKERS ,2021-03-06,Gym Membership
2021-10-17,2021-10-17,Diamond Monthly (Pay w/Routing&Acct Only),2021-10-17,Gym Membership
2021-07-05,2021-07-05,Platinum Monthly (Pay w Routing/Acct Only),2021-07-05,Gym Membership
2021-03-10,2021-03-10,Platinum Monthly (Pay w Routing/Acct Only),2021-03-10,Gym Membership
2021-05-18,2021-05-18,Gold Monthly (Pay w/Routing&Acct Only),2021-05-18,Gym Membership
2021-08-23,2021-08-23,Platinum Monthly (Pay w Routing/Acct Only),2021-08-23,Gym Membership
2021-08-15,2021-08-15,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-15,Gym Membership
2021-06-02,2021-06-02,Gold Monthly ($2.99 Debit/CC Fee),2021-06-02,Gym Membership
2021-05-21,2021-05-21,Platinum Monthly (Pay w Routing/Acct Only),2021-05-21,Gym Membership
2021-03-29,2021-03-29,Gold Monthly (Pay w/Routing&Acct Only),2021-03-29,Gym Membership
2021-08-30,2021-08-30,Platinum Monthly (Pay w Routing/Acct Only),2021-08-30,Gym Membership
2021-02-12,2021-02-12,Gold Monthly (Pay w/Routing&Acct Only),2021-02-12,Gym Membership
2021-10-21,2021-10-21,Gold Monthly (Pay w/Routing&Acct Only),2021-10-21,Gym Membership
2021-05-26,2021-05-26,Gold Monthly (Pay w/Routing&Acct Only),2021-05-26,Gym Membership
2021-03-01,2021-03-01,Gold Monthly (Pay w/Routing&Acct Only),2021-03-01,Gym Membership
2021-02-12,2021-02-12,Gold Monthly,2021-02-12,Gym Membership
2021-05-31,2021-05-31,Platinum Monthly (No Commitment),2021-05-31,Gym Membership
2021-09-19,2021-09-19,Gold Paid in Full,2021-09-19,Gym Membership
2021-10-28,2021-10-28,Diamond Monthly ($2.99 Debit/CC Fee),2021-10-28,Marketing
2021-03-01,2021-03-01,Gold Monthly (Pay w/Routing&Acct Only),2021-03-01,Gym Membership
2021-07-30,2021-07-30,Gold Monthly (Pay w/Routing&Acct Only),2021-07-30,Gym Membership
2021-10-03,2021-10-03,Platinum Paid in Full,2021-10-03,Gym Membership
2021-02-07,2021-02-07,Gold Monthly (Pay w/Routing&Acct Only),2021-02-07,Gym Membership
2021-06-29,2021-06-29,Gold Monthly (No Commitment),2021-06-29,Gym Membership
2021-01-01,2021-01-01,Gold Paid in Full,2021-01-01,Gym Membership
2021-09-13,2021-09-13,Platinum Monthly (Pay w Routing/Acct Only),2021-09-13,Gym Membership
2021-07-05,2021-07-05,Platinum Monthly (Pay w Routing/Acct Only),2021-07-05,Gym Membership
2021-09-11,2021-09-11,SILVER SNEAKERS ,2021-09-11,Gym Membership
2021-02-04,2021-02-04,Gold Monthly (Pay w/Routing&Acct Only),2021-02-04,Gym Membership
2021-03-02,2021-03-02,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-02,Gym Membership
2021-09-10,2021-09-10,Gold Monthly (Pay w/Routing&Acct Only),2021-09-10,Gym Membership
2021-09-10,2021-09-10,Gold Monthly (Pay w/Routing&Acct Only),2021-09-10,Gym Membership
2021-01-20,2021-01-20,Gold Monthly (Pay w/Routing&Acct Only),2021-01-20,Gym Membership
2021-02-08,2021-02-08,Gold Monthly (Pay w/Routing&Acct Only),2021-02-08,Gym Membership
2021-03-04,2021-03-04,Gold Paid in Full,2021-03-04,Gym Membership
2021-03-14,2021-03-14,Gold Paid in Full,2021-03-14,Gym Membership
2021-01-13,2021-01-13,Platinum Monthly (Pay w Routing/Acct Only),2021-01-13,Gym Membership
2021-10-26,2021-10-26,Diamond Monthly (Pay w/Routing&Acct Only),2021-10-26,Gym Membership
2021-01-21,2021-01-21,Gold Monthly,2021-01-21,Gym Membership
2021-10-04,2021-10-04,Gold Paid in Full,2021-10-04,Gym Membership
2021-04-30,2021-04-30,Platinum Monthly (Pay w Routing/Acct Only),2021-04-30,Gym Membership
2021-02-21,2021-02-21,Platinum Paid in Full,2021-02-21,Gym Membership
2021-04-05,2021-04-05,Gold Monthly (Pay w/Routing&Acct Only),2021-04-05,Gym Membership
2021-02-05,2021-02-05,Diamond Monthly (Pay w/Routing&Acct Only),2021-02-05,Gym Membership
2021-02-12,2021-02-12,Platinum Monthly (Pay w Routing/Acct Only),2021-02-12,Gym Membership
2021-04-13,2021-04-13,Gold Monthly (Pay w/Routing&Acct Only),2021-04-13,Gym Membership
2021-04-29,2021-04-29,Gold Monthly (Pay w/Routing&Acct Only),2021-04-29,Gym Membership
2021-08-02,2021-08-02,Platinum Monthly ($2.99 Debit/CC Fee),2021-08-02,Gym Membership
2021-06-01,2021-06-01,Gold Monthly (Pay w/Routing&Acct Only),2021-06-01,Gym Membership
2021-04-11,2021-04-11,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-11,Gym Membership
2021-03-16,2021-03-16,Platinum Monthly (Pay w Routing/Acct Only),2021-03-16,Gym Membership
2021-10-11,2021-10-11,Gold Monthly (No Commitment),2021-10-11,Gym Membership
2021-03-03,2021-03-03,Platinum Monthly (Pay w Routing/Acct Only),2021-03-03,Gym Membership
2021-03-16,2021-03-16,Gold Monthly (Pay w/Routing&Acct Only),2021-03-16,Gym Membership
2021-04-11,2021-04-11,Platinum Monthly (Pay w Routing/Acct Only),2021-04-11,Gym Membership
2021-01-16,2021-01-16,Gold Monthly (Pay w/Routing&Acct Only),2021-01-16,Gym Membership
2021-04-01,2020-12-02,Diamond Monthly (Holiday Sale),2020-12-02,Gym Membership
2021-06-05,2021-06-05,Platinum Monthly ($2.99 Debit/CC Fee),2021-06-05,Gym Membership
2021-03-11,2021-03-16,Diamond Paid in Full,2021-03-16,Gym Membership
2021-02-04,2021-02-04,Platinum Monthly (Pay w Routing/Acct Only),2021-02-04,Gym Membership
2021-07-07,2021-07-07,Gold Monthly (Pay w/Routing&Acct Only),2021-07-07,Gym Membership
2021-01-04,2021-01-04,Platinum Monthly (Pay w Routing/Acct Only),2021-01-04,Gym Membership
2021-03-24,2021-03-24,Platinum Monthly (Pay w Routing/Acct Only),2021-03-24,Gym Membership
2021-08-03,2021-08-03,Platinum Monthly (Pay w Routing/Acct Only),2021-08-03,Gym Membership
2021-01-06,2021-01-06,Platinum Monthly(Special offer),2021-01-06,Gym Membership
2021-07-18,2021-07-18,Diamond Monthly (Pay w/Routing&Acct Only),2021-07-18,Gym Membership
2021-05-10,2021-05-10,Platinum Monthly (Pay w Routing/Acct Only),2021-05-10,Gym Membership
2021-01-20,2021-01-20,Platinum Monthly (No Commitment),2021-01-20,Gym Membership
2021-04-02,2021-04-02,Platinum Monthly (Pay w Routing/Acct Only),2021-04-02,Gym Membership
2021-06-23,2021-06-23,Gold Monthly (Pay w/Routing&Acct Only),2021-06-23,Gym Membership
2021-10-04,2021-10-04,SILVER SNEAKERS ,2021-10-04,Gym Membership
2021-04-17,2021-04-17,Platinum Monthly (Pay w Routing/Acct Only),2021-04-17,Gym Membership
2021-06-14,2021-06-14,SILVER SNEAKERS ,2021-06-14,Gym Membership
2021-05-18,2021-05-18,Gold Paid in Full,2021-05-18,Gym Membership
2021-02-16,2021-02-16,Gold Monthly (Pay w/Routing&Acct Only),2021-02-16,Gym Membership
2021-02-01,2021-02-01,Platinum Monthly (No Commitment),2021-02-01,Gym Membership
2021-03-31,2021-03-31,Platinum Monthly (Pay w Routing/Acct Only),2021-03-31,Gym Membership
2021-01-01,2021-01-01,Gold Monthly,2021-01-01,Gym Membership
2021-04-27,2021-04-27,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-27,Gym Membership
2017-04-11,2021-01-26,Gold Paid in Full,2021-01-26,Gym Membership
2019-04-15,2021-03-26,SILVER SNEAKERS ,2021-03-26,Gym Membership
2021-05-03,2021-05-03,Diamond Monthly (Pay w/Routing&Acct Only),2021-05-03,Gym Membership
2021-03-26,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-05-22,2021-05-22,Platinum Monthly (Pay w Routing/Acct Only),2021-05-22,Gym Membership
2021-04-26,2021-04-26,Platinum Paid in Full,2021-04-26,Gym Membership
2021-06-04,2021-06-04,Platinum Monthly (Pay w Routing/Acct Only),2021-06-04,Gym Membership
2021-04-29,2021-04-29,Platinum Monthly (Pay w Routing/Acct Only),2021-04-29,Gym Membership
2021-10-11,2021-10-11,Platinum Monthly (Pay w Routing/Acct Only),2021-10-11,Gym Membership
2021-07-30,2021-07-30,Gold Monthly ($2.99 Debit/CC Fee),2021-07-30,Gym Membership
2021-09-22,2021-09-22,Platinum Monthly (Pay w Routing/Acct Only),2021-09-22,Gym Membership
2021-02-02,2021-02-02,Platinum Monthly (Pay w Routing/Acct Only),2021-02-02,Gym Membership
2021-09-07,2021-09-07,Platinum Monthly (Pay w Routing/Acct Only),2021-09-07,Gym Membership
2021-02-05,2021-02-05,Gold Paid in Full,2021-02-05,Gym Membership
2021-06-16,2021-06-16,Gold Monthly (Pay w/Routing&Acct Only),2021-06-16,Gym Membership
2021-06-15,2021-06-15,Platinum Monthly (Pay w Routing/Acct Only),2021-06-15,Gym Membership
2018-08-14,2021-03-26,Platinum Monthly (Pay w Routing/Acct Only),2021-03-26,Gym Membership
2021-06-14,2021-06-14,Platinum Monthly (Pay w Routing/Acct Only),2021-06-14,Gym Membership
2021-10-15,2021-10-15,Gold Paid in Full,2021-10-15,Gym Membership
2021-06-15,2021-06-15,Platinum Monthly (Pay w Routing/Acct Only),2021-06-15,Gym Membership
2021-05-18,2021-05-18,Platinum Monthly (Pay w Routing/Acct Only),2021-05-18,Gym Membership
2021-08-23,2021-08-22,Platinum Monthly (Pay w Routing/Acct Only),2021-08-23,Gym Membership
2021-06-14,2021-06-14,Platinum Monthly (Pay w Routing/Acct Only),2021-06-14,Gym Membership
2021-06-27,2021-06-27,Platinum Paid in Full,2021-06-27,Gym Membership
2021-08-23,2021-08-23,Gold Monthly (Pay w/Routing&Acct Only),2021-08-23,Gym Membership
2021-08-06,2021-08-06,Platinum Monthly (Pay w Routing/Acct Only),2021-08-06,Gym Membership
2021-03-06,2021-03-06,SILVER SNEAKERS ,2021-03-06,Gym Membership
2021-05-22,2021-05-22,SILVER SNEAKERS ,2021-05-22,Gym Membership
2021-02-01,2021-02-01,Gold Monthly (Pay w/Routing&Acct Only),2021-02-01,Gym Membership
2021-10-11,2021-10-11,Platinum Monthly (Pay w Routing/Acct Only),2021-10-11,Gym Membership
2021-04-20,2021-04-20,Platinum Monthly ($2.99 Debit/CC Fee),2021-04-20,Gym Membership
2021-01-01,2021-01-01,SILVER SNEAKERS ,2021-01-01,Gym Membership
2021-06-25,2021-06-25,Gold Monthly (Pay w/Routing&Acct Only),2021-06-25,Gym Membership
2021-07-19,2021-07-19,Platinum Monthly (Pay w Routing/Acct Only),2021-07-19,Gym Membership
2021-04-21,2021-04-21,Diamond Monthly (Pay w/Routing&Acct Only),2021-04-21,Gym Membership
2021-06-08,2021-06-08,Diamond Monthly ($2.99 Debit/CC Fee),2021-06-08,Gym Membership
2021-03-25,2021-03-25,Platinum Monthly (Pay w Routing/Acct Only),2021-03-25,Gym Membership
2021-03-11,2021-03-11,Gold Monthly (Pay w/Routing&Acct Only),2021-03-11,Gym Membership
2021-05-22,2021-05-22,Gold Monthly (Pay w/Routing&Acct Only),2021-05-22,Gym Membership
2021-06-02,2021-06-02,Gold Monthly (Pay w/Routing&Acct Only),2021-06-02,Gym Membership
2021-01-27,2021-01-27,Gold Monthly (Pay w/Routing&Acct Only),2021-01-27,Gym Membership
2021-02-15,2021-02-15,SILVER SNEAKERS ,2021-02-15,Gym Membership
2021-04-26,2021-04-26,Gold Monthly (Pay w/Routing&Acct Only),2021-04-26,Gym Membership
2021-01-26,2021-01-26,Gold Monthly ($2.99 Debit/CC Fee),2021-01-26,Gym Membership
2021-05-06,2021-05-06,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-06,Gym Membership
2021-05-20,2021-05-20,Platinum Paid in Full,2021-05-20,Gym Membership
2021-01-18,2021-01-18,Platinum Monthly (Pay w Routing/Acct Only),2021-01-18,Gym Membership
2021-05-31,2021-05-31,Platinum Monthly ($2.99 Debit/CC Fee),2021-05-31,Gym Membership
2018-04-09,2021-08-16,Gold Paid in Full,2021-08-16,Gym Membership
2021-04-20,2021-04-20,Platinum Monthly (Pay w Routing/Acct Only),2021-04-20,Gym Membership
2021-03-22,2021-03-22,Gold Monthly (Pay w/Routing&Acct Only),2021-03-22,Gym Membership
2021-04-13,2021-04-13,1x/week for 6 months (30/session),2021-04-13,Personal Training 
2021-03-04,2021-03-04,Platinum Monthly (Pay w Routing/Acct Only),2021-03-04,Gym Membership
2021-07-18,2021-07-18,Gold Monthly (Pay w/Routing&Acct Only),2021-07-18,Gym Membership
2021-10-21,2021-10-21,Platinum Monthly (Pay w Routing/Acct Only),2021-10-21,Gym Membership
2021-06-18,2021-06-18,Platinum Monthly (Pay w Routing/Acct Only),2021-06-18,Gym Membership
2021-01-13,2021-01-13,Gold Monthly (Pay w/Routing&Acct Only),2021-01-13,Gym Membership
2021-04-26,2021-04-26,Diamond Monthly (No Commitment) ,2021-04-26,Gym Membership
2021-05-17,2021-05-17,Gold Monthly (Pay w/Routing&Acct Only),2021-05-17,Gym Membership
2021-03-05,2021-03-05,Platinum Monthly (Pay w Routing/Acct Only),2021-03-05,Gym Membership
2021-02-21,2021-02-21,Gold Monthly (Pay w/Routing&Acct Only),2021-02-21,Gym Membership
2021-09-29,2021-09-29,Diamond Monthly (No Commitment) ,2021-09-29,Gym Membership
2021-02-06,2021-02-06,Gold Monthly (Pay w/Routing&Acct Only),2021-02-06,Gym Membership
2021-08-14,2021-08-14,Gold Monthly (Pay w/Routing&Acct Only),2021-08-14,Gym Membership
2021-03-14,2021-03-14,Platinum Monthly (Pay w Routing/Acct Only),2021-03-14,Gym Membership
2021-07-08,2021-07-08,Diamond Monthly (No Commitment) ,2021-07-08,Gym Membership
2021-02-03,2021-02-03,Platinum Monthly (Pay w Routing/Acct Only),2021-02-03,Gym Membership
2021-06-02,2021-06-02,Platinum Paid in Full,2021-06-02,Gym Membership
2021-09-21,2021-09-21,Platinum Monthly (Pay w Routing/Acct Only),2021-09-21,Gym Membership
2021-06-24,2021-06-24,Platinum Monthly (Pay w Routing/Acct Only),2021-06-24,Gym Membership
2021-05-20,2021-05-20,Platinum Paid in Full,2021-05-20,Gym Membership
2021-08-25,2021-08-25,Platinum Monthly (Pay w Routing/Acct Only),2021-08-25,Gym Membership
2021-02-02,2021-02-02,Gold Monthly (Pay w/Routing&Acct Only),2021-02-02,Gym Membership
2021-04-12,2021-04-12,Platinum Monthly (Pay w Routing/Acct Only),2021-04-12,Gym Membership
2021-06-27,2021-06-27,Diamond Monthly (Pay w/Routing&Acct Only),2021-06-27,Gym Membership
2021-04-14,2021-04-14,Gold Monthly (Pay w/Routing&Acct Only),2021-04-14,Gym Membership
2021-07-26,2021-07-26,Platinum Monthly (Pay w Routing/Acct Only),2021-07-26,Gym Membership
2021-09-10,2021-09-10,Platinum Monthly (Pay w Routing/Acct Only),2021-09-10,Gym Membership
2021-07-24,2021-07-24,Gold Paid in Full,2021-07-24,Gym Membership
2021-04-26,2021-04-26,Gold Monthly (Pay w/Routing&Acct Only),2021-04-26,Gym Membership
2021-06-01,2021-06-01,Gold Monthly ($2.99 Debit/CC Fee),2021-06-01,Gym Membership
2021-08-25,2021-08-25,Platinum Paid in Full,2021-08-25,Gym Membership
2021-10-26,2021-10-26,Platinum Monthly (Pay w Routing/Acct Only),2021-10-26,Gym Membership
2021-03-17,2021-03-17,Diamond Monthly (Pay w/Routing&Acct Only),2021-03-17,Gym Membership
2021-06-15,2021-06-15,Gold Monthly (Pay w/Routing&Acct Only),2021-06-15,Gym Membership
2021-03-30,2021-03-30,Platinum Monthly (Pay w Routing/Acct Only),2021-03-30,Gym Membership
2021-04-21,2021-04-21,Platinum Monthly (Pay w Routing/Acct Only),2021-04-21,Gym Membership
2021-03-15,2021-03-15,Gold Monthly (Pay w/Routing&Acct Only),2021-03-15,Gym Membership
2021-03-13,2021-03-13,Platinum Paid in Full,2021-03-13,Gym Membership
2021-06-16,2021-06-16,Diamond Monthly ($2.99 Debit/CC Fee),2021-06-16,Gym Membership
